" اونی که توی عکس زده نیست, روی لب کلن یه رنگ دیگه میشه, چرب و نرمه, ولی یکمی شاین داره و مات نیست ",رنگش,negative,"['رنگ: Positive', 'چگب و نرمی: Positive', 'شاین: Negative']"
""" "" ""سلام"" "" "" خودم این گوشی رو میخوام بخرم که به نتایج بسیار خوبی رسیدم این گوشی با رم ۳گیگابایتی خود به هیچ عنوان هنگ وباداشتن حسگر اثر انگشت خود را محبوب کرده استاین حسگر با بهترین سرعت عمل میکند ومیتوان سه انگشن شمارا ذخیره کند. این گوشی باداشتن صفحه fullHDخود تصاویر زیبایی را به ما نمایش میدهد. شما با این گوشی نمیتوانید باطری راتعویض کنید چون باطری قابل تعویض ندارد به نظرمن هم نیازی به تعویض باطری نیست خیلی از شماها دراین فکر هستید که وقتی گوشی هنگ کند باید چیکار کنیم بلکه شما نباید نگران هنگ کردن این گوشی باشید چون اصلا هنگ نمیکند. "" ""امید وارم تونسته باشم به شما کمک کنم"" "" ","رم, حسگر اثر انگشت","positive, positive","['رم: Positive', 'حسگر اثر انگشت: Positive', 'صفحه: Positive', 'باتری: Negative']"
(من چند ماهه این گوشیو دارم، گوشی خوبیه ولی اگه حافظش ۳۲ بود خیلی بهتر بود. با اپدیت به اندروید ۷ سرعتش بالاتر میره و راحت تر میشه رابطه کاربرییش، یکسری امکانات هم بهش اضافه میشه.) ,"سرعتش, حافظش","positive, negative","['حافظش: Positive', 'سرعت: Positive', 'ميزاتelerikها: Positive']"
) تمام نظرات من یک راهنمایی است نه طرفداری برندی خواست) این گوشی یک گوشی عالی و باکیفیت و زد اب بودن این گوشی مهم ترین ویژگی این گوشیه ولی …. نمی دونم چرا سامسون از پردازشگر پایین در این گوشی استفاده کرده و بچمارک این گوشی فقط ۶۲هزار هست در صورتیکه گوشی های در این رنگ قیمت پرندازنده قویتری دارند اما در زمینه باطری این گوشی واقعا خوب عمل میکنه و از نظر باطری خیالتون راحته از نظر دوبین یکم عجیبه که با این قیمت دوربین جلو از فلش برخوردار نیست و از دوربین دوگانه بهره مند نشده با در نظر گرفتن قیمت بالا این گوشی از طرف سامسونگ در رنج قیمت mat۹قرار داره که a۷واقعا جز زد اب بودن حرفی برای گفتن در برابر این گوشی نداره ولی اگه قیمتی معقول تر در نظر گرفته میشد واقعا از صرفه اقتصادی عالی بود ولی حیف خوشحال شدم که نظر من رو مطالعه کردید *در پایان باید بگم دوستان از طرفداری از برند و تعریف از گوشی خودتون دست بردارید و سعی کنید نظرتون از واقعیت موجود استفاده کنید زیرا دوستانیکه نظرات شما رو میخونن با امید به حرف شما این گوشی رو تهیه میکنن و پولی که خرج میکنن براشون مهمه ,این گوشی,positive,"['mband: Positive', 'کیفیت: Positive', 'برنامه‌ Computری: Negative', 'قیم: Negative', 'باتری: Positive', 'دوربین: Positive']"
*تجربیات خودم رو در طول این مدت استفاده از دستگاه در اختیارتون قرار میدم؛ امیدوارم که به کارتون بیاد* ابعاد خوبی داره و نون تستها به راحتی توش جاگیر میشن و با یه مقدار ملایمت و اروم اروم میشه درش رو بست و قفل کرد سیمش خیلی کوتاهه که به احتمال زیاد براتون مشکل ایجاد میکنه! کیفیت بدنش خوبه و از لحاظ فنی برقی المنتی هم خوبه و اصول ایمنی توش رعایت شده و قدرتمنده و اسنکها رو سریع اماده میکنه مجهز به قطع کن خودکار هستش که از سوختن المنت دستگاه جلوگیری میکنه تنها راه خاموش کردنش اینکه دوشاخه دستگاه رو به طور کامل از پریز بکشید متاسفانه تو قسمت داخلیش چند قسمت پلاستیکی داره که خوب مونتاژ نشدن و بعد از هربار استفاده و گرم و سرد شدن دستگاه پیچها شل یا هرز شده و بیرون میفتن!!! قابلیت جدا شدن و شستشو سینها رو داره که خیلی مهمه حتما از قبل از شروع کار با یک پنبه اغشته به روغن سینها رو چرب کنید و سپس دستگاه روشن کنید تا گرم بشه که این برای افزایش طول عمر دستگاه و نچسب موندن سینیهاتون خیلی مهمه در ابتدای کار مقداری دود میکنه که مهم نیستش نترسید؛ درش رو باز کنید تا دودها خارج بشه؛ سپس ساندویچهاتون رو بزارید بستگی به مقدار دلخواهی که میخوایید ساندویچهاتون برشته بشه و مغز پخت بین ۵ تا ۱۰ دقیقه زمان میبره چون بنده تجربه کار کردن با ساندویچ سازهای زیادی رو دارم؛ خدمتتون عرض کنم که هیچ ساندویچ سازی تا الان ندیدم که روکش تفلون داشته باشن بلکه برای کاهش هزینه استر رفلون دارن که هم زود از بین میره و پوسته پوسته میشه و هم به خورد غذا میره؛ به همین دلیل از همون روز اول سینی هاش رو بردم به مراکز بازسازی تفلون معتبر؛ تا برام روکش تفلون مقاوم بکنند اگه این کار رو از همین ابتدا بکنید با خیال راحت میتونید تا سالیان سال ازش استفاده کنید چون همه این دستگاهها چینی هستند؛ خیلی کیفیت ساخت مطلوبی ندارن در نتیجه بهشون خیلی فشار نیارین و بعد از درست کردن یه بسته نون تست بهش حسابی استراحت بدین (استفاده خونگی) لولاهای دستگاه هم کیفیت مطلوبی داره ولی اسنکها رو هم خیلی پر نکنید که هنگام بسته شدن لولاهاش بشکنه و از جاش دربیاد برای تمیز کردن سینیها وقتیکه دستگاه رو از برق میکشید قبل از اینکه کامل سرد بشه؛ با یه کهنه نرم سینیها رو پاک کنید خیلی راحت اثرات غذا (پنیر پیتزا) از روش پاک میشه و خشک نمیشه؛ بعد از اینکه هم کاملا خنک شد سینیها رو در بیارید و خیلی راحت با اسفنج نرم و کف بشورید تا چربیها راحت شسته بشن و سینیها تمیز بشن کلام اخر اینکه از همه لحاظ باهاش با ملایمت رفتار کنید؛ چون کیفیت ساخت متوسطی داره ولی در مجموع از بقیه ساندویچ سازهای تو بازار این مورد کیفیت و قابلیتهای مطلوبتری نسبت به بقیه داره در نتیجه خریدش رو توصیه میکنم ,کیفیت ساخت,neutral,"['ابعاد: Positive', 'نون: Positive', 'سیم: Negative', 'qualität بدنش: Negative', 'منتی: Negative', 'قطعات پلاستیکی: Negative', 'روکش تفلون: Positive', 'اسنک: Negative', 'لولاها: Positive', 'سینیها: Negative']"
*لطفا با دقت بخونید، ممکنه تو انتخاب کمکتون کنه* من این دستگاه رو از بازار خریدم، روی کارتون و خود دستگاه نوشته بود تولید هلند. راستش قبل از خرید یکم دو دل بودم چون نظر برخی دوستان رو خونده بودم که راضی نبودن و یا ایراد های دیگه. البته شاید با نوع صورت این عزیزان سازگاری نداشته، اما برای من خیلی خوب جواب داد. بعد از اصلاح کاملا حس اصلاح با ژیلت رو داشتم و خط زنش هم با کمی قلق به خوبی وظیفشو انجام داد. بعد از اینکه از بسته بندی خارجش کردم یک ساعت شارژش کردم و بعد ازش استفاده کردم. و اما کارایی که کردم تا اصلاح بی نظیری رو با این دستگاه رقم بزنم … ۱- قبل از اصلاح کاملا صورتم رو با شونه شماره یک کوتاه کردم ۲- طبق گفته کاتالوگ درون محصول، دستگاه رو روی صورتم به صورت چرخشی و عکسش حرکت دادم. ۳- برای ناحیه گردن دستگاه رو به صورت معکوس و با همان حرکات چرخشی و عکسش روی صورتم حرکت دادم ۴- از خط زن به صورت معکوس و چند بار حرکت پشت سر هم در هر ردیف مو استفاده کردم دوستان من کل اینکارارو با صورت کاملا خشک انجام دادم، اگر با صورت مرطوب امتحان کردم حتما میام و تجربمو باهاتون به اشتراک میذارم. فقط یادتون باشه بعد از اصلاح درب تیغه رو باز کنید و درون دستگاه رو با آب بشورید، خط زن هم باز کنید و آبکشی کنید و تا خشک شدن کامل دستگاه، درب تیغه و خط زن رو باز نگه دارید. بعد از خشک شدن دربش رو ببندید. امیدوارم مفید بوده باشه ,بازار,neutral,"['تولید: Netherlands: Positive', ' کارایی: Before repair - Poor, After repair - Good: Positive', 'خط زنش: Slightly loosened - Positive', 'شارژ: One hour: Positive', ' cameras: Automatic & Manual - Positive', 'ناحیه گردن: Converted - Positive', 'خط زن: Converted - Positive']"
- من رنگ خاکستریش رو گرفتم خیلی به جنس فلزیش میاد نسبه به قیمتش کیفیت ساخت و جنس به کار رفتهی خوبی داره طراحی شیار دارش هم تقریبا به اندازهی عکسش زیباست جعبهی خوش ساختی هم داره - پخش کنندهی صداش open back که باعث میشه یکم صدا بیرون اما نه زیاد که کسی توی فضای بیرون متوجهش بشه در عوض توی طولانی مدت کمتر ممکنه باعث سردرد بشه - کیفیت پخش صدا هم در حد قیمتش مناسبه bass متوسط و کمی رو به پایین داره در مورد توییترش مطمئن نیستم هنوز میکرونفش هم بد نیست در کل راضیام ازش ,"میکرونفش, bass","neutral, negative","['رنگ: Positive', ' جنس فلز: Positive', 'qualität ساخت: Positive', ' جنس به کار رفتهی: Positive', 'تصميم: Positive', 'اندازه: Positive', 'جعبه: Positive', 'صدای باز: Negative', 'uality صدا: Moderate', 'باس: Moderate', 'میکرون: Negative']"
. باتری خوب. بیس خوب. شفافیت متوسط صدا. در ولم بالا صدا زنندس و تیزه ,"باتری, شفافیت, بیس","positive, neutral, positive","['باتری: Positive', 'بیس: Negative', 'شفافیت: Moderate', 'صدا: Positive']"
. کیفیت صدا و بیس خوبی داره من یک ساله که دارمش هیچ مشکلی براش پیش نیومده ,کیفیت صدا و بیس,positive,"[' صدا: Positive', 'بیس: Positive']"
__ بعد از ۸ ماه استفاده مداوم اسکرول موس معیوب شده و صفحه رو به جا پایین کشیدن بالا پایین میکنه! __ تو این هشت ماه فقط یکبار باتری صفحه کلید رو تعویض کردم مصرف باتری موس متوسط هست که خب به خاطر نوری بودنش هست __ اگر اسکرول موس رو در تولیدات اینده به نمونهی خوبی ارتقا بدن واقعا میتونه از بهترین انتخابها باشه ,مصرف باتری موس,neutral,"['اسکرول: Positive', 'صفحه: Positive', 'باتری: Negative']"
__ بعد از ۸ ماه استفاده مداوم اسکرول موس معیوب شده و صفحه رو به جا پایین کشیدن بالا پایین میکنه! __ تو این هشت ماه فقط یکبار باتری صفحه کلید رو تعویض کردم مصرف باتری موس متوسط هست که خب به خاطر نوری بودنش هست __ اگر اسکرول موس رو در تولیدات اینده به نمونهی خوبی ارتقا بدن واقعا میتونه از بهترین انتخابها باشه ,مصرف باتری موس,neutral,"['اسکرول: Positive', 'صفحه: Positive', 'باتری: Negative']"
"a۵۲۰۱۷  گوشی خوبی باطری قوی داره ولی یکم قیمتش بالاس کیفیت دوربین خیلی خوبی داره نسبت به a۷خیلی بهتر. در کل گوشی خیلی خوبی اینکه سامسونگ رو با گوشی هایی چون هواوی ,htc,sony مقایسه نکیند. ","باطری, کیفیت دوربین, قیمتش, a۵۲۰۱۷","positive, positive, negative, positive","['باتری: Negative', 'دیکtación: Positive', 'ensity تصویر: Positive']"
c۷ از این گوشی بهتره من اول میخواستم a۷بخرم بعد توی گوشی فروشی این دوتا رو کنارهم گذاشتم و از همه لحاظ مقایسه کردم که c۷خیلی بهتر بود هم دوربینش خیلی بهتره هم سرعتش بیشتره هم خیلی خوش دست تر هس ,"c۷, این گوشی","positive, negative","['نمایی: Positive', 'ورودبین: Positive', 'سرعت: Positive', 'دست‌ور: Positive']"
j۷ prime: گوشی بسیار قوی-دوربین منحصر به فرد- رم۳-باطری قوی p۱۰lite: پردازنده قوی تر - دوربین عالی -رم۴-باطری قوی- اندروید ۷ معایبj۷prime: نداشتن nfc-پیکسل کمتر نسبت به p۱۰ lite-وزن نسبتا بالا معایبp۱۰ lite: باطری ضعیف تر نسبت به j۷ prime-نداشتن منوی فارسی ,"گوشی, دوربین, پردازنده","positive, positive, positive","['قدرتی: Positive', 'دوربین: Positive', 'باتری: Negative', 'نút کار: Negative']"
p۹ lite خیلی بهتر از اینه ,اینه,negative,[' Lights: Positive']
، اصلا احتیاجی به صرف هزینه چند صد هزاری برای محصولات خارجی نیست و این نیاز شما رو چه برای اداری و صنعتی و چه برای مطالعه برطرف این رو من چند روز پیش گرفتم، برای کار عکس برداری احتیاج داشتم. کاملا قابل انعطاف هست و میتونید زاویه تابش نور رو تنظیم کنید، تنها مورد و نقطه ضعفش قسمت وصل شونده به پایه هست که کاملا محکم نمیشه البته این باعث نمیشه ثابت نایسته اما بهتر بود محکمتر باشه، جنس قطعات با اینکه نیاز رو برطرف میکنه کیفیت بالایی نداره که البته با توجه به قیمت مناسب نباید توقع داشت. در کل این محصول تا دو برایر این قیمت ارزش خرید داره. توی خریدش شک نکنید. ,"قیمت, جنس قطعات, قسمت وصل شونده","positive, negative, negative","['هزینه: Neutral', 'نوع محصول: Positive', 'زاویه تابش نور: Positive', 'جزءهای متصل: Negative', 'جنس قطعات: Positive']"
آب را با تمام ظرفیت که ۱٫۷ لیتر هست رو تو چهار دقیقه جوش میاره برند آلمانی مخصوصا بوش که جای هیچ ایرادی رو نداره کیفیت و شکل ظاهری محصول هم زیباست ,"شکل ظاهری محصول, برند آلمانی مخصوصا بوش","positive, positive","['ظostok: Positive', 'جوشش: Positive', '品質: Positive', 'شکل: Positive']"
آخه دوربین ضعیف تراکم پیکسلی کم اندروید پایین رم۲ قدیمی بودن پردازنده ,"اندروید, رم۲, پردازنده, تراکم پیکسلی, دوربین","negative, negative, negative, negative, negative","['ضعیف: Negative', 'تراکم: Negative', 'پیکسلی: Negative', 'رم2: Negative', 'قدیم بودن: Negative', ' پردازنده: Negative']"
آدم یه نظر هایی میبینه که میخواد شاخ در بیاره نه در مورد این گوشی به طور کلی میگم، یه سری ها گوشیو از نزدیک هم ندیدن اونوقت یه نظر هایی مینویسن که سازنده گوشی هم نمیدونه اما در مورد این گوشی: این گوشی در حد یک میان رده خوبه کیفیت صفحه نمایش خوب و باطری نسبتن خوب چیپستاشم که یه امتیاز خوب تلقی میشه برای این گوشی فقط یکم لوس شده دست هرکی میبینی یا j۷هستیاj۵ ,"باطری, صفحه نمایش","positive, positive","['صفحه نمایش: Positive', 'باتری: Positive', 'چیپست: Positive', 'لوس: Negative']"
آغا من این گوشیو ۴ماهه خریدم واااقعا عالیه واسه کسایی که میخوان گوشی سامسونگ بخرن این گوشی بهترین انتخابه شک نکنید!!! ,این گوشیو,positive,"['دقت: Positive', ' Design: Positive', ' macrophages: Positive', 'цена: Positive']"
آقا این دیگه چه گوشی بی نظیریه ازدیجی نخریدم ورام اماراته اندروید ۷ ارتقادادم بهترین گوشی که تاحالا خریدم قبلا s۷داشتم اصلا رتضی نبودم ازش ولی این گوشی آرزوی منو براورده کرد. بخرید ببینید چه گوشیه فقطJ۷primeهمینو بس عاشقشم. ,گوشی,positive,"['برنامه‌نامه: Positive', 'جلوگیری: Positive', ' Design: Positive', 'باتری: Negative']"
آقا به نظر من کلا دستگاه خوبیه، من تقریبا دو هفتس از دیجی کالا گرفتمش واقعا ازش راضی ام، کیفیت چاپش ک برا من مهمه واقعا عالیه ولی من برا مصارف خونگی پیشنهاد میکنم درسته ک کارتیجاش گروته ولی میشه شارژش کرد ,"کیفیت چاپش, دستگاه","positive, positive","[' Quality of printing: Positive', 'Price: Negative', 'Cartridge: Negative', 'Battery: Negative']"
آقا در یک کلام این محصول عالیه فقط وقتی دانلود میکنید، داغ میکنه که زیاد خوب نیست. ولی در برابر کاراییش هیچه!! پیشنهاد میکنم ,محصول,positive,"['دانلود: Negative', ' کارایی: Positive']"
آقا عالی، حرف نداره بلافاصله گوشی به عنوان شارژ سریع شناختش. خیلی با کیفیته و کابل بسیار محکم و خوبی داره. اصلا شارژره از قیافش مشخصه که یه سرو گردن از شارژرهای دیگه بهتره ,کیفیته,positive,"['شارژ: Positive', 'کیفیته: Positive', 'câبل: Positive', 'قchargeable: Positive']"
"آقا من این گوشی رو نزدیکه ۲ ماه دارم روی این گوشی همه نوع بازی اجرا کردم مثل NBA ۲k۱۶, need for speed ,و …. خوبی این گوشی هنگ نمی کنه ولی یه مشکلی داره فقط تو شب هم معلوم میشه این که یک برنامه ای رو باز می کنید مثل تلگرام بعد که میرید تو یه برنامه دیگه مثل فیلم دیدن پشتش اون صفحه تلگرام خیلییییییی کم رنگ معلومه. ولی هنگ نکرده تا الان عالیه و باتری خیلی خوبی داره خیلی زود شارژ میکنه و دیرم خالی می کنه ",گوشی,positive,"['نمایی: Positive', 'برنامه‌نما: Negative', 'باتری: Positive']"
