id,title,body,created_at,rate,recommendation_status,is_buyer,product_id,advantages,disadvantages,likes,dislikes,seller_title,seller_code,true_to_size_rate
53672599,پیشنهاد نمیشود,به درد نمیخوره ,23 شهریور 1402,1.0,not_recommended,True,252058,,,0,0,دیجی‌کالا,5A52N,
9897229,بسته بندی بد,می‌تونست به عنوان یه کالای فرهنگی بهتر بسته بندی بشه,16 تیر 1399,0.0,recommended,True,252058,['تجربه جالبی بود برام '],['بسته بندی جالبی نداشت'],1,0,دیجی‌کالا,5A52N,
38074516,برس ریمل,"بسته بندیش خوب بود
 کاربرد و کیفیتشم خیلی خوبه من برای روغن زدم به مژه و لیفت ابرو خریدم",26 مرداد 1401,0.0,recommended,True,3331597,,,0,0,آرالیا بیوتی,ADM47,
18628562,خوبه و خوشرنگ,به نظرم خوبه فقط یکم ظریفه. از رنگش خوشم اومد من برای صابون ابرو استفاده میکنم راضی ام,28 اسفند 1399,0.0,recommended,True,3331329,,,0,0,اینجاست آ ,9ZMCZ,
53301258,برس رنگ مو,معمولیه اگه واسه خونه رنگ کردن شخصی میخواین اوکیه ولی اگه واسه کار دکلره میخواین نه زیاد ولی خوبه,12 شهریور 1402,3.0,recommended,True,3255700,,,0,0,گالری آرایشی به سیما,CDWHA,
53266157,خوبه,"قبلا هم استفاده کردم اگه بلد باشین کار کردن باهاش رو 
برای ی پاکسازی پوست سطحی توی خونه عالیه",11 شهریور 1402,5.0,recommended,True,3305270,,,0,0,یانگوم,ERKSP,
46206235,بدک نیست ,خوبه,8 اسفند 1401,2.0,,True,3480048,,,0,0,بازرگانی سوشیان,CKWY4,
40597171,پد شستشوی براش,خیلی به کارتون میاد قیمتشم مناسبه,24 مهر 1401,5.0,recommended,True,3480048,"['جنسش خوبه\r', 'خوش رنگه\r', 'کاربردیه\r', 'قیمت مناسب']",['نداره '],1,0,بازرگانی سوشیان,CKWY4,
46198656,لنز ناخون,دقیقا مطابق عکس بود,7 اسفند 1401,5.0,recommended,True,7626372,,,0,0,هستی نیل,E2C2D,
46901811,خوب,برا حالت دادن با اسپری یا پودر عالیه,20 اسفند 1401,5.0,recommended,True,821812,,,0,0,پنی شاپ,CN6G3,
20373536,,اندازش کوچیکه بدرد رنگ مو نمیخوره ,14 اردیبهشت 1400,2.0,not_recommended,True,1064806,,,0,0,آرالیا بیوتی,ADM47,
40710017,عالی,مطابق توضیحات بود,26 مهر 1401,3.0,recommended,True,2727911,,,0,0,آرالیا بیوتی,ADM47,
53791544,,لب ھارو نرم میکنہ و قیمت مناسب,26 شهریور 1402,5.0,recommended,True,3899330,,,0,0,سپیدرو,5A6A6,
52495314,خوب,خوب بود   بخرید قشنگه,18 مرداد 1402,5.0,recommended,True,7693180,,,0,0,یانگوم,ERKSP,
34036284,قلم ماسک صورت,سالم بود،شستنش راحته،واسه ماسک گذاشتن خیلی ایده ی خوبیه،از اسراف و کثیف کاری قشنگ جلوگیری میکنه.,31 فروردین 1401,3.0,recommended,True,4275289,,,1,0,الماس تجارت پارس,5AJY7,
51783725,خیلی خوب بود,خیلی عالی بود ، کاربردیه ، دیگه لازم نیست جوشا رو دستکاری کرد ، با این پیلینگ خیلی راحت میشه تخلیه کرد,27 تیر 1402,4.0,recommended,True,1893093,,,0,0,کارگذاری جنوب,5AK5K,
52776060,اصلا بدرد نمیخوره نخرید,بدرد نخور واقعی وقتی بدستم رسید برسش کج بود و نامنظم و از هرطرف زده بود بیرون مرجوع کردم,27 مرداد 1402,1.0,not_recommended,True,3258998,,,0,0,یانگوم,ERKSP,
52767482,برس ابرو,کمی گران اما با کیفیت,27 مرداد 1402,5.0,recommended,True,9557523,,,0,0,شوز انلاین,AKMEA,
48786928,,خوب,11 اردیبهشت 1402,1.0,recommended,True,2645301,,,0,0,اینجاست آ ,9ZMCZ,fit
25530926,,کیفیت چاپ  خوب بود. اما چسب ها فاسد بودند ,28 شهریور 1400,2.0,no_idea,True,5762473,,,1,0,مربع مکعب,DEKDY,
42925960,,خوب بود خوشم اومد,20 آذر 1401,4.0,recommended,True,3022298,,,0,0,ویولا رز,DP4DX,
34717635,خوبه,ولی مال من دوتا از برسش شکسته دیجی کالا لطفا بسته بندی مناسب کنید,22 اردیبهشت 1401,2.0,recommended,True,1409756,,,3,0,طهران کالا,5AP6X,
15789424,نسبت به قیمتی که پرداخت میکنید خوبه فقط شانه برس خیلی زبر می باشد,در کل نسبت به پولی که پرداخت میکنید خوبه,18 دی 1399,0.0,recommended,True,2648752,['ارزان'],['شانه های برس زبر می باشد'],1,0,آرالیا بیوتی,ADM47,
